,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
825,아아으,https://yt3.ggpht.com/ytc/AKedOLT12Pu3Gx-j2xjhR7XwWmeM5L_XsK0khOgC2A=s48-c-k-c0x00ffffff-no-rj,잭스,잭스,0,20211208,-1
648,돌아온탕아,https://yt3.ggpht.com/1SyoTXx08lB3PmEpGrs6zDKS5Tn4fb3DSn8LyGMG3BdTWVA79jnesrc3Qs5lHka-PSoQzg2P=s48-c-k-c0x00ffffff-no-rj,이게 그 인싸들이 본다는 웹드인가요??,이게 그 인싸들이 본다는 웹드인가요??,0,20211208,-1
649,양우수,https://yt3.ggpht.com/ytc/AKedOLQM72GDHxYk6EwkTtr62j3asCD2mvPISCWhVQ=s48-c-k-c0x00ffffff-no-rj,이세끼는 천재인가,이세끼는 천재인가,0,20211208,-1
380,임상준,https://yt3.ggpht.com/ytc/AKedOLQsUohGLkz3mYeoNGmwYcC85BAMM0wjrV9aEyWb7w=s48-c-k-c0x00ffffff-no-rj,주스월드 생각나네 루시드드림이라 하니까,주스월드 생각나네 루시드드림이라 하니까,0,20211208,-1
381,John Connor,https://yt3.ggpht.com/ZiQ0xrqqaacMxCyU42IO-_iTQGb5XSUDGxFmRbRizIPxiq9GUOBgN3sB0lx094ajT3siFLmlsg=s48-c-k-c0x00ffffff-no-rj,퀄리티.. 이거 실화냐;;;,퀄리티.. 이거 실화냐;;;,0,20211208,-1
375,집수니ᄋᄉᄋ,https://yt3.ggpht.com/ytc/AKedOLQdH19ngagZjal1pwL1tFB6xu2-oXU1SOeUE3EN2w=s48-c-k-c0x00ffffff-no-rj,꿈에서 먹고싶은거 실컷먹겠음...아 상상만해도 햄벅하다😍,꿈에서 먹고싶은거 실컷먹겠음...아 상상만해도 햄벅하다😍,0,20211208,-1
653,지구인,https://yt3.ggpht.com/ytc/AKedOLR_2JQMR3FnIuxhlxW65pUnj32cSsvTcq08rQ=s48-c-k-c0x00ffffff-no-rj,영화 갑시다~~~ 그런데 주인공 미현이 완전 천사다.   모나미 볼펜이 뭐냐~~~,영화 갑시다~~~ 그런데 주인공 미현이 완전 천사다.   모나미 볼펜이 뭐냐~~~,2,20211208,-1
369,김 마래_ Mare Music,https://yt3.ggpht.com/ytc/AKedOLQLkB3l0l-i2sWJ5yw0ea0QBgF3QxyI5wuv9XC8Ow=s48-c-k-c0x00ffffff-no-rj,루시드 드림 영화 있습니다.. ㅎ,루시드 드림 영화 있습니다.. ㅎ,0,20211208,-1
654,리폽,https://yt3.ggpht.com/ytc/AKedOLRr2fXnD9vTPgpTFhrwhLXQ96EEckcYYoSPqQ=s48-c-k-c0x00ffffff-no-rj,뭐야 고몽채널인줄 ㅋㅋㅋㅋ,뭐야 고몽채널인줄 ㅋㅋㅋㅋ,0,20211208,-1
385,지효사랑해❤,https://yt3.ggpht.com/kqwgulkupZ3QqCOK59usUJV714860YQzrbiUjl-Qiu1RvSZ4hqVp01U3BF9XDVym0mFiJwbOdAI=s48-c-k-c0x00ffffff-no-rj,난 학폭까진 안당해봐서 모르겟네,난 학폭까진 안당해봐서 모르겟네,0,20211208,-1
