comment_origin,label
보고 싶네요. jkbbsb@naver.com,1
시즌1.2.3 모두 본 열혈팬이에여너무재미있고 기대하는작품입니다한선생과강형사. 세커플 애교커플 과새로 투입된 형사끼지 관전 포인트는 스토리이고요 두번재반격을 예고하는듯한 펜텀ㅎㅎ그리고 담이라는 아역 도 주요인물중하나로보입니다,1
늘 잠들기 전에 보는 애니메이션... 이제 대사도 다 외울 지경이지만 그 감동은 여전하네요 정말 좋은 영화입니다,1
지루할틈없이 재밌게봤다,1
재밌게 잘밨네요 .. 유해진씨 ..김혜숙님 연기에 그저 감탄.,1
눈물난다,1
장동민씨 마지막에 반전을 거듭하며 놀라운 수를 차분히 두는 모습 너무 멋있었습니다. 특히 2라운드에서도 빛을 발하는 모습에 감동.오현민씨를 좋아하지않았는데 이번 화 보면서 인간적인 모습에 장동민/오현민 두분 우정 잘 지켰으면..두분 멋졌음,1
로맨스코미디 중 거의 탑10안에 듬,1
내 인생 최고의 영어 배우는 영화!~~감동의 쓰나미,1
다시 개봉좀..너무좋은영화,1
어림잡아보니 7.5점 정도면 나오겠는데 ㅋㅋ 자막때문에 평균 1점 날아가부렸어,1
여주인공이..꽤 괜찮은얼굴^-^,1
여운이넘남아요 정말최고,1
83년 당시 3천만달러의 대자본이 투입된 전투헬기영화의 명품,1
평점 낮은 순으로 보니까 가관이네. '팩션' 이라는 장르는 한 번도 못 들어봤나 무식한 것들. 실화를 바탕으로 극을 엮은거지 실화만을 쓰는 게 아닌데 어디서 소문 주워 듣고 와서 부풀려 말하고 있네. 아마데우스 봤으면 아예 고소 하겠다고 달라 들겠어.,1
선입견 버리고 보면 진짜 재미있고 잘 만든 영화!!!,1
대발아~~역대 최고의 가족 드라마라고 생각함!,1
음악 영상미 둘다 최고 감동까지 ㅠ.ㅠ,1
자연스러운 흐름에 편승해 보세요. 100분이 그냥 지나갑니다.,1
잔인하게 싫어서 1점 깍았지만 이 영화는 정말 잘 만들어진 영화이다.,1
어쩌다 한번씩 꼭 보게되는데 그때마다 가슴을 울리네요.,1
진심 그냥 최고다!!!!,1
오글거리는데보게됨..챙겨보게됨ㅋㅋ하지만..그해령?해령맞나..아무튼해령이하는역할은다만얄밉다,1
이것이야말로 정말 최고의 미드다.,1
재밌음. 처음부터 끝까지 스릴있어서 전혀 지겹지 않았음.,1
오하나 민코 나코 유이나,1
두사람의 매력이 묻어나서 더 재밌게 봤네요^^,1
눈물나게 재밌다 ToT,1
머니토크 보고 이거보면 크리스터커가 얼마나 골때리는넘인지 알수있다 ㅋㅋㅋ,1
"부모가 아무것도 해줄수 없다고 판단될때 자식에 대한 사랑은 발휘된다. 최고의 감동 역작이네요.닉놀테,수자서렌던의 연기도 최고입니다.",1
적보다 무서운 아군이라。。보이지 않는 서로 간의 심리전이 볼만합니다。,1
좋다. 고전이라 별 기대 없었는데 기대 이상임,1
내생에 최고의 우주영화다...할아버지들 정말 사랑합니다!!!!!!,1
셋이같이보다둘은울었더랬지. 스토리자체보다 대사와영상과음악이 눈물샘을자극한작품,1
"스무살때 티비에서 봤던 영화, 정말 재밌고 시나리오 연기 편집 음악등 모든 게 대단한 영화, 헐리웃은 애정영화도 재밌게 만든다는 걸 느끼해 해주고 수잔 서랜든, 아주 좋은 배우이다. 그녀의 연기는 내 눈시울을 적시게 만들었다",1
진짜 웃긴닼ㅋㅋ!!!최고의 코미디영화!,1
학교에서 음악시간에 보는데 너무 재밌었어요ㅋㅋ 줄다람쥐들이 짱!!!!!!,1
"무협최고의 시나리오의 코미디각색, 그리고 초호화 캐스팅.",1
"역대 엑스맨 시리즈 중 데오퓨, 퍼클이 가장 재밌음.",1
최고다 말이 필요없네 무조건 볼 것,1
영화를 보는 사이사이에 아쉬움이 남기는 하지만、그나마 성은님께서 성은이 망극하게도 화끈하게 연기해 주어서 재미있게 잘 봤습니다。영화의 스토리로는 여타 영화와 다를바가 없지만 배슬기도 청순하게 연기 잘 했습니다。다음번에는 좀 더 용기내기를 바랍니다！,1
"왜지.. 내 생에 최고 명작중 하나로 넣었는데..배우가 배우를 연기하고 그 배우가 배우를 연기하면서 숨이 턱턱 막히는 내용과 연기에 행복했는데...왜지.. 난 설경구, 박해일은 이 영화 찍으면서 별별생각 많이 들었을 것 같았는데..",1
"1편에 못미치지만, 효과는 발전. 오우삼 영화의 결정체",1
밥말리...........,1
완전 재밌다 ㅋㅋㅋ,1
"도르지의 영혼이 돌아가고 싶은 그곳,영혼을 위로하고 치료해주는 영화-히말라야...",1
영화는 장면을 담담하게 그려냈지만.. 엔딩크레딧이올라가는순간 가슴이 들끓었다..,1
윤아땜에 엠한 영화에 별점말아먹는 덕후 새퀴들 땜에 10점 보탠다 아오 정신병자들ㅡㅡ,1
긴장감백배 플러스 깨알코믹 ㅋㅋㅋ,1
마지막회 보는거 미루고 미루다가 방금 봤어요. 여운이 찡하게 남습니다...,1
페르난다,1
와 사람이 어떻게 저렇게 예쁠수가 있지...,1
누구보다 다름을 인정하는 사람이지만 솔직히 이영화 재미업다는 사람은진짜 영화볼자격이없다;;;그냥 앞으로 영화볼맘조차 안생길정도로 종지부를 찍는영화다..,1
재미있기도하고조금은감동적이네요,1
진짜 재밌게 보고있어요ㅋㅋㅋ 주말만 기다려지네요ㅋㅋㅋ 그리고 제 생각에는 의사분이 그 아들같아요ㅋㅋㅋ,1
사랑으로 연주하는 하모니,1
정말 감동적으로 본 영화에요~~,1
진짜 두세번을 봐도 재밌다ㅠ,1
아ㅜ놀래라..인생영화 한 편 추가되었습니다.,1
아주 재밋네요 ㅎㅎ,1
약간 너무 많이 헤어지는 거같았음....ㅋ,1
