,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
0,찰떡,https://yt3.ggpht.com/XWjfUZTXpyOfnpOtyaNd7HL9z8ZUrXwYu0CRSLnlLG6zrDTeTrXvNzcL4PmZAyYNgRS9nE3R1w=s48-c-k-c0x00ffffff-no-rj,ㄹㅇ ㄸ 싸면서 보니까 잘나옴,ㄹㅇ ㄸ 싸면서 보니까 잘나옴,0,20211130,-1
65,호홓하하,https://yt3.ggpht.com/ytc/AKedOLRBhBBd8cro-5lUogCxsxZVY5sRRSjLaoiBEzE01w=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=8vAouplPQsc&amp;t=0m02s"">0:02</a>",0:02,0,20211121,-1
67,Joon,https://yt3.ggpht.com/ytc/AKedOLTuCb5Pe2jLxE7fe7nHVYDjeNvsAx2oLjUxhg=s48-c-k-c0x00ffffff-no-rj,성우분 발음좋으시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,성우분 발음좋으시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,20211120,-1
79,"보결❤️ 꿈뜰이,드레싱",https://yt3.ggpht.com/sDHFsScDfzpYBe53vzZmnmcrX_Bf-8z4Fz4B3_RJl8TlXzxBpvglWSDMqNtiwxI_yRJfPLgSVA=s48-c-k-c0x00ffffff-no-rj,이건 보면 볼수록 어이없는데 웃김ㅋㅋㅋㅋ &#39;이게 대체 뭐지..?&#39; 하면서도 웃고있어ㅋㅋㅋ,이건 보면 볼수록 어이없는데 웃김ㅋㅋㅋㅋ '이게 대체 뭐지..?' 하면서도 웃고있어ㅋㅋㅋ,3,20211116,-1
80,white cream 허연크림,https://yt3.ggpht.com/QzGVl75C5qEgwhDDS0S5bISCH4r4R0DQ0q967bpVP5N8T9nofPZpUB-t-hnEy1gA1GaeBxbayg=s48-c-k-c0x00ffffff-no-rj,마기라스가 하면 ㅋㅋ,마기라스가 하면 ㅋㅋ,0,20211116,-1
88,오영석,https://yt3.ggpht.com/ytc/AKedOLQFJIpmaciXl1Ep0-ubnLQLDrSjLZn7iYk594nrhA=s48-c-k-c0x00ffffff-no-rj,4초짜리 영상 보려고 5초짜리 광고봤다 ㅋㅋㅋㅋㅋㅋ<br>질문 안받는다 ㅋㅋㅋㅋㅋㅋㅋㅋ,"4초짜리 영상 보려고 5초짜리 광고봤다 ㅋㅋㅋㅋㅋㅋ
질문 안받는다 ㅋㅋㅋㅋㅋㅋㅋㅋ",0,20211115,-1
91,아아 아,https://yt3.ggpht.com/ytc/AKedOLSR1lZ4sqYBX8MgXLEXngerHma5GWh3uxhthnXRlsnVWQ=s48-c-k-c0x00ffffff-no-rj,이거 어디서 나온 거임?,이거 어디서 나온 거임?,0,20211114,-1
95,사탄,https://yt3.ggpht.com/dl2uMQh-E6h5w1ttvVsg2uSMax_LXMd5qaDmpIdovCJlLza4EHt_xlwJX-NWugA-SB3uZWsYq9s=s48-c-k-c0x00ffffff-no-rj,이거원본이머지.,이거원본이머지.,0,20211113,-1
98,김계민,https://yt3.ggpht.com/ytc/AKedOLSeNAWKhMH-it1RlDuMyM2daHwGjDSfw_lrdQ=s48-c-k-c0x00ffffff-no-rj,근데 이거 고누리 목소리 아님?,근데 이거 고누리 목소리 아님?,0,20211113,-1
101,v v,https://yt3.ggpht.com/ytc/AKedOLQaQAs6zHanERJwpCZzE2o6b4n30vJRX9WDW0IB=s48-c-k-c0x00ffffff-no-rj,내 생애 제일 쓸데없는 4초,내 생애 제일 쓸데없는 4초,0,20211112,-1
102,오줌이TV,https://yt3.ggpht.com/zcwmVlc8o6mSY-xCd4yWManhEqtF8OtHJl2r5-2OBh7zQfxRk5jrM0WaUoyeyzJ30QDCL9AthF0=s48-c-k-c0x00ffffff-no-rj,핵초보유튜버에서 유명 유튜버로 떡상!,핵초보유튜버에서 유명 유튜버로 떡상!,0,20211112,-1
60,ㅁㅁ,https://yt3.ggpht.com/M-cmgPwNHWAGEYn5WbN8R_7Sw3__s61dBde2kkr1ueGkYS3yfp2XiUmB6RlWLUSj5Jy7qIkK=s48-c-k-c0x00ffffff-no-rj,2배속을 하면 ‘쇼미더머니 60초 심사에 나간 꽁기깅강‘ 영상을 체험할수 있습니다.,2배속을 하면 ‘쇼미더머니 60초 심사에 나간 꽁기깅강‘ 영상을 체험할수 있습니다.,0,20211124,-1
103,제닌JN,https://yt3.ggpht.com/1S7jRnrgJkSA4ETtU8p2L8AWVUbULbBRAN-abCId3VbflU83RvSbh6yOl2T7UnYaiwvYkHCGjA=s48-c-k-c0x00ffffff-no-rj,이거 짤툰에 노우는거 아닌가,이거 짤툰에 노우는거 아닌가,0,20211112,-1
110,현수 이,https://yt3.ggpht.com/ytc/AKedOLQ0QXQBMyhosaLlfc3yOmFDzCu99zOPvkRgF2y6svk9_w=s48-c-k-c0x00ffffff-no-rj,xx 이게 뭔데 롤 할때마다 애들이 링크 도배 하냐,xx 이게 뭔데 롤 할때마다 애들이 링크 도배 하냐,1,20211111,-1
111,김경선,https://yt3.ggpht.com/ytc/AKedOLTXpudXsxuXyr6vqCW-BBxSyUb_dzS5LiaA2Q=s48-c-k-c0x00ffffff-no-rj,광고가 더 긴 영상,광고가 더 긴 영상,0,20211111,-1
115, 토즌 ToZen,https://yt3.ggpht.com/S9DDCGz2eap14kaHOE_48Kle_27SR13sbbiNDYO1x9gKIUxXDYduzEh2GK6MCW1no7L7dQzdlCM=s48-c-k-c0x00ffffff-no-rj,조회수가 200만 ㅋㅋ,조회수가 200만 ㅋㅋ,0,20211110,-1
117,YT,https://yt3.ggpht.com/KdIqj4ztswYNm5vdL5Ur4M4279tvjx0RgJO2wQUPNnfLU1yuRM_cyvvxMwmIWL8DpN3h2skOMQ=s48-c-k-c0x00ffffff-no-rj,꽈읻나 아ㅜ냐주ㅑㅜ냐ㅗㅑ우ㅑㅓ야ㅓ.....,꽈읻나 아ㅜ냐주ㅑㅜ냐ㅗㅑ우ㅑㅓ야ㅓ.....,0,20211109,-1
118,Thomas Shin,https://yt3.ggpht.com/ytc/AKedOLTf7KOpqt7UsCZ9uKnKZQagq59f5RkXpCVNSw=s48-c-k-c0x00ffffff-no-rj,중독성 넘 심해 ㅋㅋ,중독성 넘 심해 ㅋㅋ,0,20211109,-1
