,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
1,jake's launchpad,https://yt3.ggpht.com/_oFanVh12RLuQ9fs5Xgoto3GWDClI03iudJ3HYlcKl_xwe_xcymRqhCbMmtP1zRrc5ytEcuB=s48-c-k-c0x00ffffff-no-rj,진용진님 갑자기 등장해서 운동하는거 웃겼어여 ㅋㅋ,진용진님 갑자기 등장해서 운동하는거 웃겼어여 ㅋㅋ,1,20211210,-1
724,했던말또하고,https://yt3.ggpht.com/ytc/AKedOLQgzUSDeiwYvXeV4nXQvvGP1hSTHUnU-KWIc0GY-A=s48-c-k-c0x00ffffff-no-rj,와 이제 영화도 제작해 ㄷㄷㄷㄷ 므찌다,와 이제 영화도 제작해 ㄷㄷㄷㄷ 므찌다,0,20211208,-1
405,이동열,https://yt3.ggpht.com/ytc/AKedOLTRZoJ1z8xrezSrk8sZUbknk5gHICP5H3A6Aw=s48-c-k-c0x00ffffff-no-rj,환공포증있는데.. 볼펜 허벅지에들어간거 너무 잔인쓰..,환공포증있는데.. 볼펜 허벅지에들어간거 너무 잔인쓰..,0,20211208,-1
727,매콤music,https://yt3.ggpht.com/2PWpgf4FzIe2w6XtpCNER63nCO8BrZ0ARTGVbwWetApHV7NhXeZ0kaEpUkcb_JY7o_f-57y2lg=s48-c-k-c0x00ffffff-no-rj,저는 제꿈인 음악을했습니다 .,저는 제꿈인 음악을했습니다 .,0,20211208,-1
399,K,https://yt3.ggpht.com/ytc/AKedOLRwYT2mJgp-qnxV-W1XdOvAqkKUp5NKTgzF7DzCaOpRPPDeE7heVVDOq-YBMdLj=s48-c-k-c0x00ffffff-no-rj,ㅡㅡ? 저 영화보고싶은데 어케요?,ㅡㅡ? 저 영화보고싶은데 어케요?,0,20211208,-1
394,J2S S,https://yt3.ggpht.com/ytc/AKedOLTejc4SuVEdFTAWjWT65dhIZCiGMSu5PJUFSew3=s48-c-k-c0x00ffffff-no-rj,형 멋있네,형 멋있네,0,20211208,-1
392,Love Lindsey,https://yt3.ggpht.com/ytc/AKedOLR7N4QFzmkQE90eKksQPDcJDqBTDHu87b1C-27h2g=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=_EX71hJsN2c&amp;t=4m48s"">4:48</a> 아니 왜 갑자기 언에듀가 나왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",4:48 아니 왜 갑자기 언에듀가 나왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,20211208,-1
391,봄이,https://yt3.ggpht.com/ytc/AKedOLSlj8ZrkxiHY4mVEgF0fdc15M8At25JOVIQZ8bsqw=s48-c-k-c0x00ffffff-no-rj,와 마지막 대사 멋있다,와 마지막 대사 멋있다,1,20211208,-1
737,Cinnamon,https://yt3.ggpht.com/ytc/AKedOLRXz6rJbgLim6h4HW8mfddG2k6X4zqeehxZEbFN=s48-c-k-c0x00ffffff-no-rj,꿈에 딸이 나오는데 뺨싸대기를 날리다니ㅋㅋㅋㅋ,꿈에 딸이 나오는데 뺨싸대기를 날리다니ㅋㅋㅋㅋ,5,20211208,-1
387,삼성전자차장,https://yt3.ggpht.com/7_QCi6-Wpw9oMAATKCtr0NPItZnn17WfOx7XlrRRZZ8j3m-BrZj6QX_pKtoSxpmZutIpxpWbgw=s48-c-k-c0x00ffffff-no-rj,나같으면 괴롭혔던 애들이랑 직장상사들 다 죽여버릴듯,나같으면 괴롭혔던 애들이랑 직장상사들 다 죽여버릴듯,1,20211208,-1
