,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,predict
0,찰떡,https://yt3.ggpht.com/XWjfUZTXpyOfnpOtyaNd7HL9z8ZUrXwYu0CRSLnlLG6zrDTeTrXvNzcL4PmZAyYNgRS9nE3R1w=s48-c-k-c0x00ffffff-no-rj,ㄹㅇ ㄸ 싸면서 보니까 잘나옴,ㄹㅇ ㄸ 싸면서 보니까 잘나옴,0,20211130,bad_feedback
1,로블록스 유튜버,https://yt3.ggpht.com/Pl4cm-9f1_YSd8d-rlimXaYKHh0xXH2a27tcgUCcYip1W614SFdxEoPMNebfz8EpOe1xf64p0Ik=s48-c-k-c0x00ffffff-no-rj,꾀이ㅡ긔니ㅡㄴㄱㅈㅂㄷㄱㄴㅅㄴ.,꾀이ㅡ긔니ㅡㄴㄱㅈㅂㄷㄱㄴㅅㄴ.,0,20211124,good_feedback
2,제닌JN,https://yt3.ggpht.com/1S7jRnrgJkSA4ETtU8p2L8AWVUbULbBRAN-abCId3VbflU83RvSbh6yOl2T7UnYaiwvYkHCGjA=s48-c-k-c0x00ffffff-no-rj,원래 소리는 레지기가랄가락랅,원래 소리는 레지기가랄가락랅,0,20211121,bad_feedback
3,dksoojnll,https://yt3.ggpht.com/MjqqKbRJWl1RpsmP902eSQj4a4iyvNL508rhD2imO9gQCdvMR2OKjDI2NtQMQL2rgMh0gjGvmQ=s48-c-k-c0x00ffffff-no-rj,방구캐리,방구캐리,0,20211118,bad_feedback
4,초콜릿,https://yt3.ggpht.com/FMfbn2lvjIEexpqev8N2G3P916uPGSx3uwhf2S-w1hl6DhHzQH0lMrmZRBqV4rwfrXPx5tIlTg=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211118,bad_feedback
5,비트,https://yt3.ggpht.com/ytc/AKedOLRGp7_-4w6SSih034NFbDarRpK3ulMO0iYoU3Eh=s48-c-k-c0x00ffffff-no-rj,호이기가고기이노기강공기기강공고노기기강강뿌르륵,호이기가고기이노기강공기기강공고노기기강강뿌르륵,0,20211118,good_feedback
6,후준,https://yt3.ggpht.com/ytc/AKedOLQqS-VBVasiPbsTZ7IfD566sKRHEgUOROjfjoDmmQ=s48-c-k-c0x00ffffff-no-rj,나중엔 부웱도 나오겠다 ㅎ,나중엔 부웱도 나오겠다 ㅎ,0,20211118,good_feedback
7,마에스트로,https://yt3.ggpht.com/ytc/AKedOLT8FfysT1N6J7tVisyKR5JhZ1dRWPwrHeitH072qw=s48-c-k-c0x00ffffff-no-rj,레지스틸은 말이 빨라서 영상이 짧은거 같은데 레지기가스는 말이 느려서 영상 길이도 느린거 같음,레지스틸은 말이 빨라서 영상이 짧은거 같은데 레지기가스는 말이 느려서 영상 길이도 느린거 같음,0,20211117,bad_feedback
8,white cream 허연크림,https://yt3.ggpht.com/QzGVl75C5qEgwhDDS0S5bISCH4r4R0DQ0q967bpVP5N8T9nofPZpUB-t-hnEy1gA1GaeBxbayg=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211115,good_feedback
9,심준혁,https://yt3.ggpht.com/ytc/AKedOLSRBNo1X26LW1NiNh67R6QSE8r95OB5norhtdigocOIlg=s48-c-k-c0x00ffffff-no-rj,나 고정해줘,나 고정해줘,0,20211115,bad_feedback
10,ᄂᄅᄅᄂᄌᄀᄎ,https://yt3.ggpht.com/bTYyiiHTstPB5gc_GmDRKBu5dV9QodSF7VfLGL_EK_ARDG-tzXqNulIbRVrJznw7h7EIEL7y=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=f0ZAgF7YvlI&amp;t=0m04s"">0:04</a> ㅋㅋㅋㅋㅋㅋㅋㅋ",0:04 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211114,good_feedback
11,이민정,https://yt3.ggpht.com/ytc/AKedOLQUtR1Pr91XXF3SohX7Je9PsZMd8ZlrZfCnSw=s48-c-k-c0x00ffffff-no-rj,나도 고정해줘,나도 고정해줘,0,20211114,bad_feedback
12,케인 보면 히열을 느껴버림,https://yt3.ggpht.com/nfZJRpdF0UeT2cWPUdGYdlEnCUPVpyXDAYCVYu4YCK2_JWX-pKuVltICW8D6R7NUtVDIv4kk=s48-c-k-c0x00ffffff-no-rj,마지막에 엉덩이가 떨리는 느낌 썅,마지막에 엉덩이가 떨리는 느낌 썅,0,20211112,good_feedback
13,YouTube-날먹왕 비니,https://yt3.ggpht.com/sSEdcClC0-2-Jzwc6nZBHcCVea_ezEH1z8UeosdRTegvv7EJ4kClPor9fuoctC-E4t0TM1SN59U=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋㅋㅋㅋㅋ 구독 부탁드려요,ㅋㅋㅋㅋㅋㅋㅋ 구독 부탁드려요,0,20211110,good_feedback
14,권회위,https://yt3.ggpht.com/ytc/AKedOLTSVeyEw8vZiWant9psGjeEqMRueW47UYzrfA=s48-c-k-c0x00ffffff-no-rj,마지막:끄억 설사아악,마지막:끄억 설사아악,0,20211110,good_feedback
15,UBM 스타]]UBM star,https://yt3.ggpht.com/henk1hFJDAbTbzE0v3Cgjjc1a8yQZb3WneomIQ8nb9zY_ouxdsj2NsQMVCBKKhiLTENShaV_eA=s48-c-k-c0x00ffffff-no-rj,공깅강공깅강공깅강공깅깅공깅깅공깅깅강강(뿌지지지직)(설사),공깅강공깅강공깅강공깅깅공깅깅공깅깅강강(뿌지지지직)(설사),0,20211110,bad_feedback
16,겜늅이의로블세상,https://yt3.ggpht.com/ytc/AKedOLSBqdgRvt3lI4EW9z9C2Bb5cYvpoWFixUfJpwMZEw=s48-c-k-c0x00ffffff-no-rj,꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁깅깅꽁강강 뿌르르륵,꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁깅깅꽁강강 뿌르르륵,0,20211109,bad_feedback
17,윤세라,https://yt3.ggpht.com/ytc/AKedOLTzle6WR7FI-Ag_hwUm7iHHEJS2ih-Y8XE5qg=s48-c-k-c0x00ffffff-no-rj,꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁기깅꽁강강(화장실 변기물 내려가는 소리),꽁깅강꽁깅강꽁깅강꽁기깅꽁강깅꽁기깅꽁강강(화장실 변기물 내려가는 소리),1,20211109,bad_feedback
18,처음인데,https://yt3.ggpht.com/VUIbT_PAQyFtazevyHNgydtIcahEqOiZmm_UnO_dLq-iwYWCGP1VdvYVdXykfAui0ffjNeLjWQ=s48-c-k-c0x00ffffff-no-rj,마지막에 떵싸는 소리가?,마지막에 떵싸는 소리가?,0,20211109,good_feedback
