,textDisplay,textOriginal,authorDisplayName,publishedAt,likeCount,authorProfileImageUrl,predict
0,안녕하세요 레드소네트 보컬 리아입니다!<br>평소에 엄청 즐겨봤던 채널인데 직접 뵙게되어서 너무 영광이었구 용진님 덕분에 저희도 너무 즐겁게 공연했던 것 같아요!! 구독자수 100만명 너무너무 축하드리구 알려드림 돠드림 모두 화이팅이에요!!,"안녕하세요 레드소네트 보컬 리아입니다!
평소에 엄청 즐겨봤던 채널인데 직접 뵙게되어서 너무 영광이었구 용진님 덕분에 저희도 너무 즐겁게 공연했던 것 같아요!! 구독자수 100만명 너무너무 축하드리구 알려드림 돠드림 모두 화이팅이에요!!",[Re:A] RIA,2019-10-30T15:23:32Z,1224,https://yt3.ggpht.com/ytc/AKedOLSfiH5A65_VbxosLPH9yNG9JoXzOWJpUDLJrh90zQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
1,저 도와주세요 기프트카드가 갖고싶어요 도아주세요,저 도와주세요 기프트카드가 갖고싶어요 도아주세요,멍뚱이,2021-09-09T11:16:55Z,0,https://yt3.ggpht.com/Pk0mGYZtol8qsvyh7naTEOj9iIEDcydGoMeeIvXBfwtBL3OHNLCG5ZHbvRsHdubwsXPvpH2w=s48-c-k-c0x00ffffff-no-rj,contents
2,자신감이 대단해요,자신감이 대단해요,축전,2021-07-16T07:37:15Z,0,https://yt3.ggpht.com/SQeH3qwatMdOw8pdhiAyg4Df_yAzueoX3S_XBsQN1YFBPHTd3y_UOPSyDuFL9yBDC5saA6cgrQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
3,여름에 밖에 더운데 막 헌팅하러 갈필요없이 ㅅŁ과ㅌl비에 여캠들이랑 소통하면서 눈호강도하고 야한것도보고 ㅎㅎ,여름에 밖에 더운데 막 헌팅하러 갈필요없이 ㅅŁ과ㅌl비에 여캠들이랑 소통하면서 눈호강도하고 야한것도보고 ㅎㅎ,Küçük Gamerx,2021-05-10T11:51:15Z,0,https://yt3.ggpht.com/ytc/AKedOLT1z9TFhSNA6-DKFuWUczlmaTpwPwnidgznvnaa=s48-c-k-c0x00ffffff-no-rj,good_feedback
4,ㅅŁ고レㅌl비에 단백질도둑 진짜 개많음 .. 3개월째 비뇨기과 방문안해도될정도로 성욕이 막끓음,ㅅŁ고レㅌl비에 단백질도둑 진짜 개많음 .. 3개월째 비뇨기과 방문안해도될정도로 성욕이 막끓음,C-ops OYUNCUSU,2021-05-10T11:25:36Z,0,https://yt3.ggpht.com/ytc/AKedOLQnZe440K4vX0up7gg3Ub1afShrNOZNjbF3JBok=s48-c-k-c0x00ffffff-no-rj,good_feedback
5,ㅅL고レㅌl비 BJ들 수위는 어느방송국도 못따라오긴한다 .. 애들 진짜 예쁜데 몸매까지좋으니까 미칠것같다 밤마다,ㅅL고レㅌl비 BJ들 수위는 어느방송국도 못따라오긴한다 .. 애들 진짜 예쁜데 몸매까지좋으니까 미칠것같다 밤마다,PropellerRifle,2021-05-10T11:25:36Z,0,https://yt3.ggpht.com/ytc/AKedOLSuqDF9zCAINkzL3Qq4aF6aKCPrRlK-jQkBGU2Q=s48-c-k-c0x00ffffff-no-rj,good_feedback
6,ㅅレ과ㅌl비에 도둑들 너무많음 ;; 단백질도둑 휴지도둑 마음도둑 .. 하 .. 사과티비 미칠것같다,ㅅレ과ㅌl비에 도둑들 너무많음 ;; 단백질도둑 휴지도둑 마음도둑 .. 하 .. 사과티비 미칠것같다,Mehmet Boran Satılmış,2021-05-10T11:25:36Z,0,https://yt3.ggpht.com/ytc/AKedOLQQ5jzFaUZ6tc7hAhbJiU7AhPRtrl4rolvcQw=s48-c-k-c0x00ffffff-no-rj,good_feedback
7,ㅅĿ고レㅌl비가 내삶의 낙이다 .. 매일봐도 안질리는 울 사과티비 여캠애들 너무예쁘고 섹시해서 좋앙 .. ㅎㅎㅎㅎㅎ,ㅅĿ고レㅌl비가 내삶의 낙이다 .. 매일봐도 안질리는 울 사과티비 여캠애들 너무예쁘고 섹시해서 좋앙 .. ㅎㅎㅎㅎㅎ,BAY DOKTOR,2021-05-10T11:20:21Z,0,https://yt3.ggpht.com/ytc/AKedOLSHFaR47P44kgioNwUGZxN6FuCeofYyfyGyLJ8S=s48-c-k-c0x00ffffff-no-rj,good_feedback
8,ㅅΓ고レㅌl비 수위조절좀 해라 운영자야 ㅋㅋㅋㅋㅋ 이러다가 방송국없어질까 두렵다 .. 좋긴한데 오래갈려면 ㅠ 수위조절해,ㅅΓ고レㅌl비 수위조절좀 해라 운영자야 ㅋㅋㅋㅋㅋ 이러다가 방송국없어질까 두렵다 .. 좋긴한데 오래갈려면 ㅠ 수위조절해,Egehan Süper,2021-05-10T11:20:21Z,0,https://yt3.ggpht.com/ytc/AKedOLQrhm5utCHAXC7nyOykkWhzN_20Eb-TXvN5oJtWsg=s48-c-k-c0x00ffffff-no-rj,good_feedback
9,ㅅΓ고レㅌl비 보다보면 코피 너무흘려서 빈혈남 .. 그정도로 수위가 높음 코피 + ㅈ물 그냥 개싸는중 ..ㅎㅎ,ㅅΓ고レㅌl비 보다보면 코피 너무흘려서 빈혈남 .. 그정도로 수위가 높음 코피 + ㅈ물 그냥 개싸는중 ..ㅎㅎ,Ayşe Vural,2021-05-10T11:12:49Z,0,https://yt3.ggpht.com/ytc/AKedOLQ0D-sLcsNtN5tUBRlU2Jcix26ccIXm02b491pl=s48-c-k-c0x00ffffff-no-rj,good_feedback
10,내가 진짜 ㅂㄱ부전끼가 좀 있었는데 ㅅL고レㅌl비 보고나서는 그런거 하나도없음 그냥 쫙쫙 존슨이 막서네 막서,내가 진짜 ㅂㄱ부전끼가 좀 있었는데 ㅅL고レㅌl비 보고나서는 그런거 하나도없음 그냥 쫙쫙 존슨이 막서네 막서,İsmet Enes Sert,2021-05-10T11:12:49Z,0,https://yt3.ggpht.com/ytc/AKedOLTrDErNJmMeA-L7-eClDucwR84uXWe3Py0gE5gy=s48-c-k-c0x00ffffff-no-rj,good_feedback
11,ㅅㅏ고レㅌl비 뜨는 이유가있네 여캠들 수위가 진짜 말도안될정도로 좋네 ..,ㅅㅏ고レㅌl비 뜨는 이유가있네 여캠들 수위가 진짜 말도안될정도로 좋네 ..,Oğuzhan TÜRE,2021-05-10T11:12:49Z,0,https://yt3.ggpht.com/ytc/AKedOLTHuOhEcISoPHCsPAAAiim3-XL4aVFR8QvhQNIk4A=s48-c-k-c0x00ffffff-no-rj,good_feedback
