,textDisplay,textOriginal,authorDisplayName,publishedAt,likeCount,authorProfileImageUrl,contents_or_feedback
0,"소목장을 운영하고 계시는 분의 제보를 기다리고 있습니다!<br>jinyongjin12@<a href=""http://naver.com/"">naver.com</a>","소목장을 운영하고 계시는 분의 제보를 기다리고 있습니다!
jinyongjin12@naver.com",진용진,2021-11-17T09:27:52Z,859,https://yt3.ggpht.com/ytc/AKedOLQZDV-yDWNZbxl8HFifJ3ADj5Bb5nd1r4DNhrksjg=s48-c-k-c0x00ffffff-no-rj,컨텐츠 요구
1,품위유지비 ㅋㅋㅋ 품위가 있긴하나,품위유지비 ㅋㅋㅋ 품위가 있긴하나,별또님,2021-11-30T03:11:43Z,0,https://yt3.ggpht.com/ytc/AKedOLS_xGmhdjJwRDOXrZ2Fdwvbr1J4MGaCB8nSmw=s48-c-k-c0x00ffffff-no-rj,피드백
2,인생에 허세는 좀필요하지 40넘어서 돈없으면   <br>허세 부리면 좆데분다 생각잘해라 지금 네가 그런다 힘들다 차고 뭐고 필요없다 지금 죽것다,"인생에 허세는 좀필요하지 40넘어서 돈없으면   
허세 부리면 좆데분다 생각잘해라 지금 네가 그런다 힘들다 차고 뭐고 필요없다 지금 죽것다",구독 좋아요,2021-11-30T01:32:02Z,0,https://yt3.ggpht.com/sqdbOmxB3cZCIDPfxfHasQVWNgaYEtH0bw0qVMskSySoQqGGH9F0ZO_QY7auqamuqtniYeNGXg=s48-c-k-c0x00ffffff-no-rj,피드백
3,멋있으시당,멋있으시당,김예찬,2021-11-29T18:15:30Z,0,https://yt3.ggpht.com/ytc/AKedOLTq7lanTAqzDoPbsfqEIDIf59KOYbsfj0-qDg=s48-c-k-c0x00ffffff-no-rj,피드백
4,"<a href=""https://www.youtube.com/watch?v=Mh-ip0PxJK0&amp;t=3m31s"">3:31</a> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ <br> 카푸어: 아니요 카푸어라고 생각하지 않습니다","3:31 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
 카푸어: 아니요 카푸어라고 생각하지 않습니다",oz,2021-11-29T15:15:34Z,0,https://yt3.ggpht.com/ytc/AKedOLQshNNrFqHu92itMvt8JC1WBq_ZRyFjiC9aNCj29QMGvO5muAE-7ywG6Y7tV4u2_A=s48-c-k-c0x00ffffff-no-rj,피드백
5,특별한 능력이나 사업적 수완이 좋은게 아니라서 그냥 월급 받으며 알뜰하게 살아도 그냥 고만고만하게 살아가는게 대부분이다.<br>젊을때 낭비나 허세 안부리고 저축해가며 살면 나이들어서 전부 집사고 좋은차 탈거라는 식으로 말들하네..<br>어릴때 그냥 멋부리며 살아라라고 말하지는 않겠지만 자기 능력껏 타고 싶은 차 타는 사람한테 카푸어라고 한심하다는 식으로만 보는것도 좀...<br>저렇게 살아도 성공하는 사람은 성공하고 평생을 알뜰하게 궁색하게 사는 사람들도 있고....<br>난 20대때 차도 안사고 돈 모아가며 그냥 평범하게 살았는데 지금은 그때 이것저것 더 많이 못해본게 아쉽다.,"특별한 능력이나 사업적 수완이 좋은게 아니라서 그냥 월급 받으며 알뜰하게 살아도 그냥 고만고만하게 살아가는게 대부분이다.
젊을때 낭비나 허세 안부리고 저축해가며 살면 나이들어서 전부 집사고 좋은차 탈거라는 식으로 말들하네..
어릴때 그냥 멋부리며 살아라라고 말하지는 않겠지만 자기 능력껏 타고 싶은 차 타는 사람한테 카푸어라고 한심하다는 식으로만 보는것도 좀...
저렇게 살아도 성공하는 사람은 성공하고 평생을 알뜰하게 궁색하게 사는 사람들도 있고....
난 20대때 차도 안사고 돈 모아가며 그냥 평범하게 살았는데 지금은 그때 이것저것 더 많이 못해본게 아쉽다.",나나,2021-11-29T13:04:43Z,0,https://yt3.ggpht.com/ytc/AKedOLRH-WDJnqBJ2K_LxPnhZn33kMk0aO7hiVMFhO8hxA=s48-c-k-c0x00ffffff-no-rj,피드백
6,"<a href=""https://www.youtube.com/watch?v=Mh-ip0PxJK0&amp;t=4m06s"">4:06</a> 이름 순서 바뀌었다고 이렇게 풍성할 줄이야..",4:06 이름 순서 바뀌었다고 이렇게 풍성할 줄이야..,나춘식,2021-11-29T11:06:38Z,0,https://yt3.ggpht.com/Ht-U02cohFwfmQSxPfqT5t9n3W7506VxgBeWldscQOq3IW-7Pw_S03XiCU1bE2jiJZAWMA1nCQ=s48-c-k-c0x00ffffff-no-rj,피드백
7,"<a href=""https://www.youtube.com/watch?v=Mh-ip0PxJK0&amp;t=4m37s"">4:37</a>",4:37,임승호,2021-11-29T10:02:11Z,0,https://yt3.ggpht.com/ytc/AKedOLR7F5IwHCXkL3sGBEWO1qFJiULbwIJHHaAOMA=s48-c-k-c0x00ffffff-no-rj,피드백
8,멋지게 사는건 좋은데 시끄럽게 동네 도로에서 부릉부릉 거리며 다니지는 말자 안 멋있고 개민폐짓임,멋지게 사는건 좋은데 시끄럽게 동네 도로에서 부릉부릉 거리며 다니지는 말자 안 멋있고 개민폐짓임,고민영,2021-11-29T08:30:35Z,0,https://yt3.ggpht.com/ytc/AKedOLReQfw_Po0N28-WaANe1mtkCO74XH2CUSWlft3DOQ=s48-c-k-c0x00ffffff-no-rj,피드백
9,부자는 돈을 어떻게 하면 더많이벌까 생각하고 부자가되고싶은 사람들은 어떻게 하면 부자처럼보일까 생각함,부자는 돈을 어떻게 하면 더많이벌까 생각하고 부자가되고싶은 사람들은 어떻게 하면 부자처럼보일까 생각함,ᄋᄋ,2021-11-29T06:49:50Z,0,https://yt3.ggpht.com/ytc/AKedOLQAzu8fYeVBhkfDml0tpyN06on8TbrBIav230yOBw=s48-c-k-c0x00ffffff-no-rj,피드백
