comment_origin,label
검은사막같은거 시켰으면 잘나왔겠네요,0
검은 사막으로 했으면?,0
아쉽네요 다른엔진으로 만들었으면 섬세하게 만들수 있는데,0
점점 재미 없는 것만 갖고 오네 이제 내용 떨어짐?,0
검은사막으로 했으면 더 좋았을듯.,0
게임 선정을 잘못 했음 아이온으로 해도 좋았을텐데,0
검은사막으로 했으면 좋은결과 나왓을텐데 아쉽,0
로스트아크를 시켜보셨어야죠,0
로아나 다른 국산 개돼지 커마했으면 좋았을듯,0
심즈 장인이랑 같이 했으면 훨씬 퀄리티좋은 결과가 나왔을듯. 장인이 터치하는건 아니고 장인의 dlc 다 해금된 계정이랑 의사선생님이 어떤 기능이 있냐고 물어봤을때 알려주는 식으로 했으면 어땠을까,0
다른 온라인 RPG겜을 시키시지..,0
로아로 했었으면 진짜 연예인급 얼굴 나왔을수도 있을듯...,0
로스트 아크로 했으면.. 아쉽 아쉽,0
"그 저기 일본에 있는 일루전이라는 회사의 게임으로 했다면 진짜 예쁜 얼굴로 나왔을텐데... 아쉽구만
꿀선택이나 뭐 그 동아리 활동 게임이나 등등...",0
일루전게임으로해야지,0
아니 ㅋㅋㅋ 이런걸 누가 궁금해하냐곸ㅋㅋㅋㅋ,0
로아로해주지,0
"2014년작 카툰풍 그래픽의 게임을 성형외과 의사에게?
진용진씨 게임개발자라 겜잘알이실 것 같았는데...",0
*형.....다크소울이나 블러드본을 줬었어야지 아 ㅋㅋ*,0
로아로 했으면 더재밌었을텐데...,0
스카이림 캐릭터 커마가 궁금했는데 아쉽네요,0
화장이나 옷같은 코디부분은 또 다른 전문가분들께 맡겨야할듯ㅋㅋ,0
아깝다..로스트아크 캐릭터 커스터마이징을 성형외과 원장님께서 직접 해봤습니다 였으면 전국 로아인들 다 몰려왔을탠데,0
스카이림에서 했어야지,0
만약 소울 시리즈나 엘더스크롤 바닐라 커마 기능을 드리면.......,0
눈 사이 미간이 넘 함몰 된듯ㅠㅜ,0
모드 쓰면 아시아인처럼 더 세밀하게 가능,0
아...이건 아니지 않나? 너무 허접한데........,0
근데 내 눈에만 안예쁘냐?…..,0
대댓에 광고 안달리게 좀 해봐라;;,0
검은사막이나 로스트아크 였으면 더 세밀 조작이 가능해서 좋았겠네요,0
게임 처럼 성형하면 돈 얼마나 드나 궁금했는데 그건 없네요 아쉽,0
대박 ㅋㅋㅋㅋㅋㅋㅋ이거말고...좀 더 세밀한 게임으로 했으면 더 대박이였을듯,0
오...생각보다 별론데??,0
검은사막이 커스텀마이징유명하지않나,0
왜 남자는 안 해줌,0
아니 커마 옵션 많은 고사양 RPG 겜 하게하시지 ㅋㅋ 이게 뭐에요,0
검은사막으로 했다면 더 괜찮을지도,0
"잘만들어도 그래픽 티 많이나는 심즈보다는
그냥 로아로 했으면 어땠을까 싶네",0
