,index,comment_origin,label
0,10864,말이 필요 없어요. 너무 좋았습니다 !,1
1,27061,이나라 윌리엄스.. 때문에 봤다,1
2,10580,다 나름 좋네요 .....,1
3,22168,진짜 재미있어요 ㅠㅠ! 2번이나 봤음..,1
4,25162,혁명을 위해 달려가는 드라마적 구성이 너무 좋다! 생략되고 그대로 혁명이 나왔다면 이야기의 완성도가 많이 떨어졌을 것이다. 이 이야기를 그대로 기억하고 part2를 봐야할 것! part2와 합쳐야 완전한 영화 하나로 평가할수 있을것 같다!,1
5,12756,관능적영화좋아하지않지만...일본의아름다운시골풍경도보고싶고...왠지스토리전개가궁금해지는(sm작가)상영관에가서스크린으로꼭봐야겠슴!!!,1
6,900,기무라 가족은 멸망해야 한다능,1
7,22680,니노 팬이라서 봤는데 괜찮긴 한데 책의 내용과 많이 벗어나서 좀 그랬음....좀 많이 벗어나서... 책 겁나 재밌었는데ㅠㅠ,1
8,9326,장면들은 그냥 스치듯 지나가지만 모든 장면에 공감하고 감동할 수 밖에..,1
9,124,재미 반 기대 반이네요 ㅎㅎ 더욱 기대합니다,1
10,28660,나만 낚일순 없지....,1
11,11662,일반 남자가 시각장애를 가진 여자를 사랑하다니 감동적이었습니다. 수화 .. ㅎㅎ,1
12,12705,마지막 경찰포위속에서 춤추며 총 집는 씬!! 카~~ 예술이지,1
13,19891,아이들이 재밋으면 되는거다,1
14,15210,"인생을 다시 생각하게 하는군요 ㅠ,ㅠ",1
15,27938,젊은 시절 13번을 보았던 사랑스럽고 슬픈 영화,1
16,24109,인간적인 이야기,1
17,5035,꽤좋았어요,1
18,4952,소통의 단절. 1류와 3류의 허구성.,1
19,6692,"분명 10점짜리 영화는 아니지만 한시도 눈을뗄수없는 긴장감과 훈훈한 결말이 보는 내내 재미있었다. 개연성 등의 문제로 대작은 될 수 없지만 가족,친구끼리 재미있게 볼수있는 꿀영화",1
20,24752,전 처음부터 꿀잼ㅋㅋ 아이유 홧팅,1
21,1702,진짜 쫄깃쫄깃하다 액션두 최고!!!,1
22,2363,영화중에 제일 최고 재밌음♥,1
23,22750,재밌게 잘 봤습니다.,1
24,6483,아놔 올레티비에서 이영화없어진지 꽤됬는데 올레티비짱나네 언제다시 올려줄꺼임,1
25,28281,나름 생각하게 해주는 영화다,1
26,23975,프랑스의 기억을 떠올리려 본영화였지만..내용이 재밌어서 빠져서 봤습니다~재밌는 영화에요,1
27,1536,최고였지,1
28,7373,사기다... 100미터 달리기를 90미터 앞에서 출발했다...,1
29,28035,이거 안보면 후회함 진심 재밌다,1
30,24177,영화가 아름답습니다.이 말 한 마디면 충분할 것 같아요..보는 내내 짠하고 설레고 눈물이 흐르지만가슴이 따뜻합니다.보고난 후에도 여운이 남네요.참 아름답습니다.,1
31,7692,10초씩 빨리돌려서봐도 내용알수있는 오랫만에 대작ㅋㅋ,1
32,15547,조금 어이 없지만 바디 카운터만 봐도 이런류 치곤 매우 쓸만함.,1
33,26326,신민아 너무 귀엽게 잘봤고 류승범도 재밌게 잘봤고요 배우들이 좋아서 그런지 영화재밌는데 평론가들 평이 왜낮은지 모르겠네요,1
34,18984,계속 웃으면서 봤어요 ㅋㅋㅋ 친구들과 봐도 정말 괜찮은거 같습니다!!,1
35,712,잔잔하고 꾸밈없는 영화,1
36,18499,슬퍼요.........,1
37,16347,이영화 너무 보고 싶은데 구할 방법이 없나요?,1
38,2969,동물을 의인화한 상상력이 좋다,1
39,9116,재밋게봣음ㅋ서기짱 범수짱,1
40,16542,완전 재밌어 또 보고 싶어,1
41,1654,그냥 생각않하고 보면 개 재미있는데,1
42,21207,명작. 이 영화를 이해하려면 최소한의 나이가 필요하고 휴머니즘이 뭔지 정도는 알아야한다.,1
43,3630,영화를 보다 낮익은 주소가 나와 화들짝 놀랐습니다. 어쩌면 비슷한 시기에 비슷한 장소에서 지나쳤던 사람일 수 있겠다는 생각과 함께요. 영화 잘 봤습니다. 모두 응원합니다. 감사합니다.,1
44,27050,"장난하나 ㅋ 완전 재밌고만, 주인공의 삶이 파란만장하다. 인생 쿨하게 보낸 사람.",1
45,28617,10점까진 아니지만 현재 평점 받을정도는 아니라고 생각해서 10점줌... 7점정도가 적당한 평점,1
46,6232,웃다가도 다시 생각하면 무서운 영화,1
47,20672,오랜만에 대작 하나 건졌네~,1
48,20922,고생하면서 찍은 걸작이죠,1
49,28395,칼릴지브란의 명언을 다시 떠오르게하는 명작,1
50,14510,김명민의 모든 연기가 기대되게 만드는 작품,1
51,19774,"진짜로 행복하게 해줄지도 몰라, 이영화",1
52,16103,재미만 있더만...,1
53,4265,이것도 꽤 명작이지,1
54,7052,벌써 세번째 감상중,1
55,27722,굿굿 완전 강추!!,1
56,28862,짱CSI보다재밌어 나 구라안쳐요,1
57,17951,진짜 엄청난 시나리오와 완성도다...천재다 감독은...대박이다,1
58,10397,내게 외계인에 대한 나쁜인상을 심어준 첫TV물.,1
59,18459,보지 않은 사람은 모른다^^ 우리 동네 비디오방에 아직 생존해 있는..,1
60,7800,인간은 악을 토해내고 싶은 것일까,1
61,4276,"황정민은 올 해의 여배우, 이런 무게감의 여배우는 처음본다.. 대! 봑!",1
62,10972,최수종 드라마는 안본거라도 그냥 10점주고 다니는 1人 ㅋ,1
63,22367,자꾸봐도 잼있어요이건 소장의 가치가 있는 영화 입니다절대 상업에 찌든 영화가 아니라서 추천합니다감동적인 영화 입니다,1
64,10465,이시대의 아이들에게 보여줄수 있는 몇 안되는 국내에서 제작한 애니메이션이라 생각됨 교육적이고 클레이 애니메이션이 사라진 지금 인간미 까지 있는 애니메이션 이라 더욱이 좋은것 같습니다,1
65,28065,정말 재밌음! 최고의 영화!,1
66,15088,독특한 스토리! 진부했던 소재 '외도'가 재미있고 스릴있게 그려진 영화.,1
67,7281,2%가 부족해서 불후의 명작이 되지 못한 비운의 영화. 세기의 명작은 못 될지라도 올해의 명작 정도는 충분할 아름다운 영화.,1
68,16341,해명태자역의 남궁원과 버들역의 김지미 등 추억의 배우들의 모습에 감동.,1
69,10801,어릴때책으로보고지금영화로보니더제미있다,1
70,6782,엄마아빠의 비건전한 상상이 만들어낸 영화. 식상하지만 누가 언제 보느냐가 관건...,1
71,20070,허버굳이궁 샘 죽이지 말지 ㅡㅡ 죽일때가 기억에 남넹,1
72,23493,끝날때까지 미소를 잃지 않았어요,1
73,21457,이거진짜재밌었는데// 또보고싶다.ㅋㅋ,1
74,6158,기대안했는데 너무 잼나다 연기짱~ 내용두 탄탄하고 강추~,1
75,18160,"""설령 그가 """"김철수"""" 였다 해도 문제는 그가 아니라 이나라의 역사이다.""",1
76,4738,솔직히 재밌다 ㅋㅋ,1
77,13150,아주 잘 봤습니다.. 근대 동이 마지막 장면에서 어디에선가 본듲한 장면이...,1
78,3300,삼가고인의 명복을 빕니다,1
79,23908,역시 찰리채플린과 아이의 연기력이 가상하고 멋지다,1
80,15216,10점 줄게요. 재밌었습니다.,1
81,24660,아이들 데리구 보기에 딱좋은 영화내요 우리아들 자리에 딱 붙어서 움직이지도 않고 끝까지 보내요~~,1
82,28349,ㅎㅎ재미있어욯ㅎㅎㅎ,1
83,28030,상당히 재밌게 잘봤음~,1
84,14149,가히 최곱니다. 두여자의 사랑과 우정과 끈끈함과 용기 절절함 가슴이 저미어 오네요.,1
85,6810,재미로보지말고 쉬어간단 느낌으로봐라 마음꽉채워주는애니메이션,1
86,7492,웃음도 있도 마지막의 슬픔도 느껴지는 좋은 작품 이였습니다. 울기도 했구여,1
87,27158,순수한 인간성의 전형. 그들이 밉지 않은 이유는 착하게 사는 나와 닮았기 때문,1
88,24678,슈퍼그랜드마더들 진짜웃겼어요!!!ㅋㅋㅋ,1
89,2134,너무너무 마음이 아프다..애국가를 불러도 무섭다고하는 윤수가ㅠㅠㅠ너무 좋은 감동적인 영화를 봐서 행복하고 감독님과 배우분들 작가분들 수고많으셨어요,1
90,23944,조금 지루한면은 있다. 사실 재미는없다. 재미로 보면 안되는 영화.,1
91,24610,"스토리는 참신하나 뭔가 2프로 부족한 작품 2기는 안 나오겠지..,",1
92,14690,내평생 유일하게 욕심났던 배역이 있었다면 그것은 바로 에스퍼맨역이었다 - 알파치노,1
93,21181,강지환 소지섭에 조연배우들까지최고엿다,1
94,17776,영화가 끝나고 나면 전율이 돋는다.,1
95,21040,오늘도 역시 재밌었어요. 곧 마지막회라 넘 아쉽네용. 모든 배우분들 끝까지 홧팅!~하세요.,1
96,22144,참 좋은영화다. 느낀점 뿐만 아니라 라이언빙햄 매력있네,1
