comment_origin,label
완전 그림이.비주얼이.. 동양 최고다..캬..여신.엘프.남신.ㄷㄷㄷㄷ. 장동건 진짜 조각이다.캬. 그리고. 내용몰입도 짱이다. 중간에 너무 잔인해서..짜증나서 뒤로 돌려봄... 너무 슬픔..ㅜㅜ.,1
하하.. 기발한 소재와 잘 짜여진 스토리는 보는내내 긴장속으로 몰아넣는다. 굿^^,1
적절한 무술과 위트의 조화. 폴리스 스토리로 만개하는 그의 준비단계!,1
"명작이라생각된다,.",1
장근석이 일본어를 못해서 장애인 역할을 했다는데..,1
"역시 제이슨 스타뎀다운 액션 말이 필요 있겠습니까.? ㅋㅋㅋ 그리고, 이번편도 전편의 여자처럼 주근깨가 더 장난이 아니네요. ㅋㅋㅋ 감독 혹시.? 주근깨 많은 여자 좋아하나.? ㅋㅋㅋ 개인적으로 트랜스포터 시리즈중에 제일 괜찮은듯.? ㅋㅋㅋ",1
명불허전 에드워드 노튼!,1
나도 저런 인연이 생기면 좋겠다...,1
여운남는 영화네여,1
"학창시절까지 올라가는 원죄의 탐구.. 근친 타부를 탐닉한 대가로 사랑이 파멸당해던 과거때문에, 오늘 하루 대충 수습하며 살던 오대수의 시공간을 지배해서라도 똑같이 느끼도록 복수하려는 우진의 엿듣는 귀를 잊을수 없다.. 대수의 혀만큼..",1
너무 사랑스런 커플~~솔직하면서두 유쾌하구 잼있다^^,1
굿,1
전주국제영화제에서 관람했는데..국내 본격적으로 상영한다니 기대되네요~,1
근작 사무라이 영화의 희극성과 떠돌이 설정은 요짐보의 각주,1
개봉관이 적어 힘들게 봤지만 너무나도 감동이었습니다.,1
학교에서 보여줬는데 집중 해서 봣는데 다시 마오쩌둥 OOO라고 생각한다,1
실소와 함께 따뜻한 미소를 지을수 있는 작품,1
역겨움과 유쾌함이 미묘하게 믹스되어 있는 비쥬얼영화,1
잘 봤어요 ^^ 기대이상ㅎ,1
허우 샤오시엔이 사랑을 바라보는 깊이와 무게. 역시 거장 ^.^,1
출연자들 이야기가 정말 재미있었던. 강호동의 재치있는 말이 정말 좋았던,1
굳!정말 좋은 드라마임~,1
잊고 있던 명작! 드디어 찾았다!!,1
이 만화는 진짜 최고 ㅎㅎ,1
내가 선택한것은 눈을 감고 느끼는 여름햇살의 붉고 뜨거운 기억,1
굿잡~!! 우리나라는 도대체 이런 드라마 언제쯤 나올지..,1
대한민국 리얼리티네..ㅋㅋ,1
난완전재밌게봄 ㅎㅎ이거첨본지 20년가까이되는거같은데 몇번을봐도 꿀잼,1
여운의 마음이 잘전해졌던 드라마... 결말이...그래도 보는 내내 행복했던 드라마...,1
여자들이여 돈많은 나이든 남자를 조심하라..,1
정치란게 뭔지 보여줌. 다만 결말이 풍선 바람빠지듯해서 9점.,1
