Column1,Column2
comment_origin,label
검은사막같은거 시켰으면 잘나왔겠네요,0
커스터마이징 후에는 진짜 성괴같네ㅋㅋ,1
재밌네요!!ㅎㅎ,1
"오, (저시력으로) 처음 봤을 때는 .... 했는데, 선생님 말대로 목이 좀 길게 나온거 같네요? - 약간의 목과 함께 얼굴만 잘라서 보니까 약간 백설공주 분위기?",1
울티마 근본력 충만한거보소,1
검은 사막으로 했으면?,0
근데 분석이라하는 게 눈알크기도얘기하고 인종분석까지가는거 동시에들어가보면 과학고 서울대의대가려면 저정도 되는구나,1
선생님 성형해주세요. 제 케릭터요,1
심즈 캐릭터를 강남 성형미인 언니로  만들었네 ㅋㅋㅋ,1
라이트하면서 즐거운 주제입니다,1
킹국지2 z,1
3:52 엣지누나? 누나가 왜 거기서 나와??,1
10억 ㄷㄷ,1
오랜만에 이런 느낌 올라와서 매우 반갑네요,1
돈벌었네,1
아쉽네요 다른엔진으로 만들었으면 섬세하게 만들수 있는데,0
점점 재미 없는 것만 갖고 오네 이제 내용 떨어짐?,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 신박하다,1
5:07 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여웤,1
한번  저의  얼굴 견적 내보고는 싶네요!!!,1
이 글을 보신 분들은 앞으로 모든 일이 잘 풀리고 행운이 다가옵니다🎶,1
탈모가 너무 많이 진행됐대 ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ 아 ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ,1
피오 형인가?,1
아하,1
ㄴㅁㅎ,1
ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ졸라진지하네 의느님,1
검은사막으로 했으면 더 좋았을듯.,0
"괜찮게 결과물이 나와서 놀랐음ㅋㅋ
저 정도면 잘 만들었지ㅋ",1
게임 선정을 잘못 했음 아이온으로 해도 좋았을텐데,0
아니 의사 아저씨 왜이리 진지하게 열심히 하냐 ㅋㅋㅋㅋㅋㅋㅋ 개 웃기네 ㅋㅋㅋㅋㅋ,1
심즈 툴 모드 이런거까지 드리면 진짜 여신캐 하나 창출가능할듯 ㄷㄷ,1
54:54:00,1
상식적으로 미술 조소도 제대로 안배운사람이 의학 기술로만 맹글라하니깐 다 강남성괴니 머니 이런게 나오지.. 혹 수술하실 분들은 미적인 부분도 카바 되는 의사분 잘찾으셔서 받으시길...ㅠ,1
검은사막으로 했으면 좋은결과 나왓을텐데 아쉽,0
로스트아크를 시켜보셨어야죠,0
와... 커마하니깐 진짜 미인 나왔네 ㅋㅋㅋㅋ,1
